HOC Item,Annex II Definition,Functional Team - Department,Project job code,Employee ID #,Sum of Time (Hours)
6.09,Processes & Procedures and Overall Internal Controls,Regulatory,Manager,AT208674,19
6.09,Processes & Procedures and Overall Internal Controls Total,,,,19
7.02,Policies and Procedures,Regulatory,Engineer,QT088325,115
7.02,,Regulatory,Manager,AT208674,18
7.02,Policies and Procedures Total,,,,133
8.02,Recruiting and Staffing,Financial Management,Director,MC900016,43
8.02,,Financial Management,Manager,QS061408,1.5
8.02,,Financial Management,Senior Analyst,AT017528,4.5
8.02,,Financial Management,Senior Manager,AT114365,22
8.02,,Human Resources,Administrative Support,AT115913,36
8.02,,Human Resources,Administrative Support,AT115398,49
8.02,,Human Resources,Director,AT003336,34
8.02,,Human Resources,Director,QS080837,16
8.02,,Human Resources,Vice President,MC900004,26.5
8.02,,Operations,Director,MC900015,10
8.02,,Operations,Director,QS116459,33
8.02,,Operations,Field Supervisor,AT020434,2
8.02,,Utility Transformation,Analyst,AT011487,48
8.02,,Utility Transformation,Director,QT088212,40
8.02,,Utility Transformation,Director,TEMP031,45.5
8.02,,Utility Transformation,Vice President,QT088015,20
8.02,,Utility Transformation,Vice President,QT088356,8
8.02,Recruiting and Staffing Total,,,,439
8.05,Stand Up Human Capital Management (HCM) System,Human Resources,Vice President,MC900004,7
8.05,Stand Up Human Capital Management (HCM) System Total,,,,7
8.06,Communication Plan,Communications,Director,MC900007,52
8.06,Communication Plan Total,,,,52
8.07,Training (Workforce Development) Plan,Operations,Director,MC900015,13.5
8.07,,Operations,Director,QS116459,1
8.07,Training (Workforce Development) Plan Total,,,,14.5
8.08,Develop Employee Retirement Plan,Human Resources,Vice President,MC900004,40.5
8.08,Develop Employee Retirement Plan Total,,,,40.5
8.09,Occupational Health and Wellness,Human Resources,Vice President,MC900004,18
8.09,Occupational Health and Wellness Total,,,,18
8.12,Develop a Community Investment Plan,Communications,Director,MC900007,12
8.12,,Corporate Services,Director,AT099584,20
8.12,Develop a Community Investment Plan Total,,,,32
9.03,Non-Federal Funding Procurement Manual Approval,Financial Management,Director,AT104919,80
9.03,Non-Federal Funding Procurement Manual Approval Total,,,,80
9.07,System Operation Principles Regulatory Approval,Regulatory,Director,AT201990,17.5
9.07,System Operation Principles Regulatory Approval Total,,,,17.5
10.02,"Assuming Responsibility for Securing Use of Assets, Facilities, IT / OT, etc.",Financial Management,Director,MC900016,49.5
10.02,,Financial Management,Director,QS017186,1
10.02,,Financial Management,Senior Analyst,AT017528,26
10.02,,Financial Management,Senior Manager,AT114365,10
10.02,"Assuming Responsibility for Securing Use of Assets, Facilities, IT / OT, etc. Total",,,,86.5
10.03,Assuming Existing Subcontracts,Financial Management,Senior Analyst,AT017528,82
10.03,,Financial Management,Vice President,AT115657,37.5
10.03,Assuming Existing Subcontracts Total,,,,119.5
12.02,Required Insurance,Financial Management,Manager,QS017134,2
12.02,,Financial Management,Manager,QS061408,33.5
12.02,Required Insurance Total,,,,35.5
12.03,Baseline Performance Levels,Regulatory,Director,AT201990,16
12.03,,Utility Transformation,Senior Director,QT088289,29.5
12.03,Baseline Performance Levels Total,,,,45.5
12.1,Section 4.5: Conditions Precedent to Service Commencement Date,Legal,Vice President,QS045177,51.5
12.1,Section 4.5: Conditions Precedent to Service Commencement Date Total,,,,51.5
Non HOC 06,Regulatory Support of Handover Checklist Items,Regulatory,Director,AT201990,123.5
Non HOC 06,Regulatory Support of Handover Checklist Items Total,,,,123.5
Non HOC 07,Front-End Transition Legal support and advice,Legal,Administrative Support,QS100254,1.5
Non HOC 07,Front-End Transition Legal support and advice Total,,,,1.5
Non HOC 10,Interconnection Agreements,Utility Transformation,Vice President,QT088015,4
Non HOC 10,Interconnection Agreements Total,,,,4
Non HOC 13,IRP Coordination,Regulatory,Director,QT088262,39
Non HOC 13,IRP Coordination Total,,,,39
Non HOC 14,GenCo-GridCo integration,Regulatory,Engineer,QT088325,48
Non HOC 14,GenCo-GridCo integration Total,,,,48
Non HOC 15,LUMA MC Ongoing Back Office Support,Financial Management,Director,QS183719,4
Non HOC 15,LUMA MC Ongoing Back Office Support Total,,,,4
Non HOC 16,PREB Resolutions and Orders,Regulatory,Director,AT201990,118.5
Non HOC 16,,Utility Transformation,Director,QT088262,113
Non HOC 16,,Utility Transformation,Engineer,QT088329,36.5
Non HOC 16,,Utility Transformation,Vice President,QT088208,7
Non HOC 16,,Utility Transformation,Vice President,QT088356,8
Non HOC 16,PREB Resolutions and Orders Total,,,,283
Non HOC 18,FOMB Fiscal Plan and Protocol Agreement,Financial Management,Manager,AT103739,6
Non HOC 18,,Regulatory,Director,AT201990,55
Non HOC 18,FOMB Fiscal Plan and Protocol Agreement Total,,,,61
