HOC Item,Annex II Definition,Functional Team - Department,Project job code,Employee ID #,Sum of Time (Hours)
2.0308,,Utility Transformation,Vice President,QT088017,4.0
2.0308,,Utility Transformation,Vice President,QT088247,81.0
2.0308,,Utility Transformation,Vice President,QT088305,27.0
2.0308,,Utility Transformation,Vice President,QT088356,48.0
2.0308,,Utility Transformation,Vice President,TEMP035,16.0
2.0308,Engineering and Asset Management Total,,,,3805.5
2.0309,Identification of Real Estate,Financial Management,Manager,AT019946,6.0
2.0309,,Financial Management,Vice President,QS017171,2.0
2.0309,Identification of Real Estate Total,,,,8.0
2.0311,System Operations Plan,Operations,Director,QS116459,4.0
2.0311,,Operations,Engineer,AT112360,52.0
2.0311,,Operations,Field Supervisor,AT020449,65.5
2.0311,,Operations,Field Supervisor,AT021005,96.0
2.0311,,Operations,Field Supervisor,AT104787,93.5
2.0311,,Operations,Senior Analyst,TEMP141,95.0
2.0311,,Operations,Senior Manager,AT003498,30.5
2.0311,,Operations,Senior Manager,AT005226,12.0
2.0311,,Operations,Senior Manager,AT019843,78.0
2.0311,System Operations Plan Total,,,,526.5
2.0312,Vegetation Management Plan,Operations,Director,MC900012,0.5
2.0312,,Operations,Field Supervisor,AT021565,67.0
2.0312,,Operations,Field Supervisor,AT103914,3.0
2.0312,Vegetation Management Plan Total,,,,70.5
2.05,Environmental Exposure Management Plan,HSE and Quality,Administrative Support,MC900036,40.0
2.05,,HSE and Quality,Director,AT022534,250.5
2.05,,HSE and Quality,Manager,QS157251,104.0
2.05,,HSE and Quality,Vice President,MC900001,8.0
2.05,Environmental Exposure Management Plan Total,,,,402.5
3.02,Development of Improvement Initiatives,Utility Transformation,Director,TEMP028,34.0
3.02,Development of Improvement Initiatives Total,,,,34.0
3.04,Development of System Remediation Plan,Operations,Director,QS116459,4.0
3.04,,Operations,Engineer,AT112360,16.0
3.04,,Operations,Senior Manager,AT003498,9.0
3.04,Development of System Remediation Plan Total,,,,29.0
3.05,Approval of System Remediation Plan,Regulatory,Analyst,AT111542,52.5
3.05,,Regulatory,Analyst,AT112548,54.0
3.05,,Regulatory,Director,AT201990,71.0
3.05,,Regulatory,Manager,AT006055,127.5
3.05,,Regulatory,Senior Manager,AT108770,16.0
3.05,,Regulatory,Vice President,QS146648,30.0
3.05,,Utility Transformation,Manager,AT010451,50.0
3.05,Approval of System Remediation Plan Total,,,,401.0
4.01,Evaluating Customer Service Facilities and Assets,Customer Service,Director,MC900027,1.0
4.01,Evaluating Customer Service Facilities and Assets Total,,,,1.0
4.02,Evaluating and Updating Customer Service Policies and Procedures,Customer Service,Analyst,AT019859,5.0
4.02,,Customer Service,Analyst,TEMP002,112.5
4.02,,Customer Service,Director,MC900027,21.0
4.02,,Customer Service,Manager,AT015858,30.0
4.02,,Customer Service,Senior Analyst,AT102970,109.5
4.02,Evaluating and Updating Customer Service Policies and Procedures Total,,,,278.0
4.03,Development of a Meter Reading Plan,Utility Transformation,Analyst,QT088290,2.0
4.03,,Utility Transformation,Director,QT088337,62.5
4.03,,Utility Transformation,Director,TEMP034,134.0
4.03,,Utility Transformation,Engineer,QT088309,76.0
4.03,Development of a Meter Reading Plan Total,,,,274.5
4.04,Development of a Customer Service Transition Plan,Customer Service,Administrative Support,TEMP321,112.0
4.04,,Customer Service,Administrative Support,TEMP207,112.0
4.04,,Customer Service,Administrative Support,TEMP223,112.0
4.04,,Customer Service,Analyst,AT019859,152.5
4.04,,Customer Service,Analyst,AT101610,45.0
4.04,,Customer Service,Analyst,MC900023,168.0
4.04,,Customer Service,Analyst,MC900037,160.0
4.04,,Customer Service,Analyst,MC900039,160.5
4.04,,Customer Service,Analyst,TEMP285,160.0
4.04,,Customer Service,Analyst,TEMP149,183.0
4.04,,Customer Service,Analyst,TEMP148,120.0
4.04,,Customer Service,Analyst,TEMP296,40.0
4.04,,Customer Service,Director,MC900027,25.0
4.04,,Customer Service,Director,TEMP045,160.0
4.04,,Customer Service,Field Supervisor,MC900026,160.0
4.04,,Customer Service,Manager,AT015858,75.0
4.04,,Customer Service,Manager,MC900035,127.0
4.04,,Customer Service,Manager,MC900040,171.0
4.04,,Customer Service,Senior Analyst,AT102970,19.0
4.04,,Customer Service,Senior Analyst,TEMP205,160.0
4.04,,Customer Service,Senior Analyst,TEMP261,160.0
4.04,,Customer Service,Senior Analyst,TEMP172,156.5
4.04,,Customer Service,Senior Analyst,TEMP222,152.0
4.04,,Customer Service,Senior Analyst,TEMP255,40.0
4.04,,Customer Service,Senior Analyst,TEMP111,120.0
4.04,,Customer Service,Senior Analyst,TEMP311,216.0
4.04,,Customer Service,Senior Analyst,TEMP219,120.0
4.04,,Customer Service,Senior Analyst,TEMP120,116.0
4.04,,Customer Service,Senior Analyst,TEMP069,80.0
4.04,,Customer Service,Senior Analyst,TEMP165,120.0
4.04,,Customer Service,Senior Analyst,TEMP237,120.0
4.04,,Customer Service,Senior Analyst,TEMP213,80.0
4.04,,Customer Service,Senior Analyst,TEMP117,120.0
4.04,,Customer Service,Senior Analyst,TEMP266,120.0
4.04,,Customer Service,Senior Analyst,TEMP198,120.0
4.04,,Customer Service,Senior Analyst,TEMP096,120.0
4.04,,Customer Service,Senior Analyst,TEMP086,120.0
4.04,,Customer Service,Senior Analyst,TEMP315,120.0
4.04,,Customer Service,Senior Analyst,TEMP348,120.0
4.04,,Customer Service,Senior Analyst,TEMP385,80.0
4.04,,Customer Service,Senior Analyst,TEMP147,120.0
4.04,,Customer Service,Senior Analyst,TEMP328,88.0
4.04,,Customer Service,Senior Analyst,TEMP298,120.0
4.04,,Customer Service,Senior Analyst,TEMP349,112.0
4.04,,Customer Service,Senior Analyst,TEMP263,120.0
4.04,,Customer Service,Senior Analyst,TEMP243,112.0
4.04,,Customer Service,Senior Analyst,TEMP066,120.0
4.04,,Customer Service,Senior Analyst,TEMP351,120.0
4.04,,Customer Service,Senior Analyst,TEMP241,104.0
4.04,,Customer Service,Senior Analyst,TEMP331,100.0
4.04,,Customer Service,Senior Analyst,TEMP269,120.0
4.04,,Customer Service,Senior Analyst,TEMP244,100.5
4.04,,Customer Service,Senior Analyst,TEMP371,120.0
4.04,,Customer Service,Senior Analyst,TEMP134,120.0
4.04,,Customer Service,Senior Analyst,TEMP276,120.0
4.04,,Customer Service,Senior Analyst,TEMP153,117.0
4.04,,Customer Service,Senior Analyst,TEMP326,120.0
4.04,,Customer Service,Senior Analyst,TEMP290,118.0
4.04,,Customer Service,Senior Analyst,TEMP064,120.0
4.04,,Customer Service,Senior Analyst,TEMP126,120.0
4.04,,Customer Service,Senior Analyst,TEMP360,120.0
4.04,,Customer Service,Senior Analyst,TEMP327,120.0
4.04,,Customer Service,Senior Analyst,TEMP170,80.0
4.04,,Customer Service,Senior Analyst,TEMP073,117.0
4.04,,Customer Service,Senior Analyst,TEMP146,120.0
4.04,,Customer Service,Senior Analyst,TEMP098,120.0
4.04,,Customer Service,Senior Analyst,TEMP344,120.0
4.04,,Customer Service,Senior Analyst,TEMP305,128.0
4.04,,Customer Service,Senior Analyst,TEMP211,120.0
4.04,,Customer Service,Senior Analyst,TEMP292,120.0
4.04,,Customer Service,Senior Analyst,TEMP157,120.0
4.04,,Customer Service,Senior Analyst,TEMP318,120.0
4.04,,Customer Service,Senior Analyst,TEMP354,120.0
4.04,,Customer Service,Senior Analyst,TEMP291,120.0
4.04,,Customer Service,Senior Analyst,TEMP080,120.0
4.04,,Customer Service,Senior Analyst,TEMP308,110.0
4.04,,Customer Service,Senior Analyst,TEMP393,120.0
4.04,,Customer Service,Senior Analyst,TEMP175,112.0
4.04,,Customer Service,Senior Analyst,TEMP145,120.0
4.04,,Customer Service,Senior Analyst,TEMP361,120.0
4.04,,Customer Service,Senior Analyst,TEMP136,120.0
4.04,,Customer Service,Senior Analyst,TEMP248,128.0
4.04,,Customer Service,Senior Analyst,TEMP088,119.0
4.04,,Customer Service,Senior Analyst,TEMP268,160.0
4.04,,Customer Service,Senior Analyst,TEMP138,120.0
4.04,,Customer Service,Senior Analyst,TEMP382,120.0
4.04,,Customer Service,Senior Analyst,TEMP358,120.0
4.04,,Customer Service,Senior Analyst,TEMP077,118.0
4.04,,Customer Service,Senior Analyst,TEMP191,120.0
4.04,,Customer Service,Senior Analyst,TEMP166,120.0
4.04,,Customer Service,Senior Analyst,TEMP347,120.0
4.04,,Customer Service,Senior Analyst,TEMP074,120.0
4.04,,Customer Service,Senior Analyst,TEMP275,120.0
4.04,,Customer Service,Senior Analyst,TEMP335,120.0
4.04,,Customer Service,Senior Analyst,TEMP082,120.0
4.04,,Customer Service,Senior Analyst,TEMP091,120.0
4.04,,Customer Service,Senior Analyst,TEMP391,118.0
4.04,,Customer Service,Senior Analyst,TEMP388,120.0
4.04,,Customer Service,Senior Analyst,TEMP099,112.0
4.04,,Customer Service,Senior Analyst,TEMP384,160.0
4.04,,Customer Service,Senior Analyst,TEMP176,120.0
4.04,,Customer Service,Senior Analyst,TEMP155,117.0
4.04,,Customer Service,Senior Analyst,TEMP133,112.0
4.04,,Customer Service,Senior Analyst,TEMP316,98.0
4.04,,Customer Service,Senior Analyst,TEMP339,120.0
4.04,,Customer Service,Senior Analyst,TEMP143,119.0
4.04,,Customer Service,Senior Analyst,TEMP167,120.0
4.04,,Customer Service,Senior Analyst,TEMP121,104.0
4.04,,Customer Service,Senior Analyst,TEMP320,80.0
4.04,,Customer Service,Senior Analyst,TEMP373,120.0
4.04,,Customer Service,Senior Analyst,TEMP390,88.0
4.04,,Customer Service,Senior Analyst,TEMP299,120.0
4.04,,Customer Service,Senior Analyst,TEMP355,110.0
4.04,,Customer Service,Senior Analyst,TEMP089,120.0
4.04,,Customer Service,Senior Analyst,TEMP127,103.5
4.04,,Customer Service,Senior Analyst,TEMP374,118.0
4.04,,Customer Service,Senior Analyst,TEMP333,160.0
4.04,,Customer Service,Senior Analyst,TEMP352,112.0
4.04,,Customer Service,Senior Analyst,TEMP236,152.0
4.04,,Customer Service,Senior Analyst,TEMP314,40.0
4.04,,Customer Service,Senior Analyst,TEMP206,120.0
4.04,,Customer Service,Senior Analyst,TEMP336,120.0
4.04,,Customer Service,Senior Analyst,TEMP370,104.0
4.04,,Customer Service,Senior Analyst,TEMP083,120.0
4.04,,Customer Service,Senior Analyst,TEMP304,120.0
4.04,,Customer Service,Senior Analyst,TEMP101,120.0
4.04,,Customer Service,Senior Analyst,TEMP343,120.0
4.04,,Customer Service,Senior Analyst,TEMP234,120.0
4.04,,Customer Service,Senior Analyst,TEMP123,120.0
4.04,,Customer Service,Senior Analyst,TEMP283,115.5
4.04,,Customer Service,Senior Analyst,TEMP274,110.0
4.04,,Customer Service,Senior Analyst,TEMP387,116.0
4.04,,Customer Service,Senior Analyst,TEMP342,120.0
4.04,,Customer Service,Senior Analyst,TEMP182,120.0
4.04,,Customer Service,Senior Analyst,TEMP116,120.0
4.04,,Customer Service,Senior Analyst,TEMP221,120.0
4.04,,Customer Service,Senior Analyst,TEMP218,120.0
4.04,,Customer Service,Senior Analyst,TEMP119,120.0
4.04,,Customer Service,Senior Analyst,TEMP284,74.0
4.04,,Customer Service,Senior Analyst,TEMP196,111.0
4.04,,Customer Service,Senior Analyst,TEMP195,120.0
4.04,,Customer Service,Senior Analyst,TEMP103,120.0
4.04,,Customer Service,Senior Analyst,TEMP181,116.0
4.04,,Customer Service,Senior Analyst,TEMP215,120.0
4.04,,Customer Service,Senior Analyst,TEMP249,112.0
4.04,,Customer Service,Senior Analyst,TEMP106,116.0
4.04,,Customer Service,Senior Analyst,TEMP350,76.0
4.04,,Customer Service,Senior Analyst,TEMP159,40.0
4.04,,Customer Service,Senior Analyst,TEMP324,120.0
4.04,,Customer Service,Senior Analyst,TEMP293,71.0
4.04,,Customer Service,Senior Analyst,TEMP362,80.0
4.04,,Customer Service,Senior Analyst,TEMP226,112.0
4.04,,Customer Service,Senior Analyst,TEMP256,80.0
4.04,,Customer Service,Senior Analyst,TEMP330,79.0
4.04,,Customer Service,Senior Analyst,TEMP161,40.0
4.04,,Customer Service,Senior Analyst,TEMP288,115.0
4.04,,Customer Service,Senior Analyst,TEMP210,117.0
4.04,,Customer Service,Senior Analyst,TEMP317,112.0
4.04,,Customer Service,Senior Analyst,TEMP280,64.0
4.04,,Customer Service,Senior Analyst,TEMP070,104.0
4.04,,Customer Service,Senior Analyst,TEMP169,80.0
4.04,,Customer Service,Senior Analyst,TEMP201,116.0
4.04,,Customer Service,Senior Analyst,TEMP365,43.0
4.04,,Customer Service,Senior Analyst,TEMP072,43.0
4.04,,Customer Service,Senior Analyst,TEMP216,43.0
4.04,,Customer Service,Senior Analyst,TEMP158,40.0
4.04,,Customer Service,Senior Analyst,TEMP212,43.0
4.04,,Customer Service,Senior Analyst,TEMP071,43.0
4.04,,Customer Service,Senior Analyst,TEMP250,38.0
4.04,,Customer Service,Senior Analyst,TEMP337,43.0
4.04,,Customer Service,Senior Analyst,TEMP294,40.0
4.04,,Customer Service,Senior Analyst,TEMP267,40.0
4.04,,Customer Service,Senior Analyst,TEMP346,40.0
4.04,,Customer Service,Senior Analyst,TEMP307,43.0
4.04,,Customer Service,Senior Analyst,TEMP203,40.0
4.04,,Customer Service,Senior Analyst,TEMP323,43.0
4.04,,Customer Service,Senior Manager,AT015517,60.0
4.04,Development of a Customer Service Transition Plan Total,,,,19232.0
4.07,Development and Implementation of a Customer Service Technology,Customer Service,Analyst,AT019654,157.5
4.07,,Customer Service,Director,MC900027,27.0
4.07,,Customer Service,Senior Manager,AT015517,30.0
4.07,Development and Implementation of a Customer Service Technology Total,,,,214.5
4.08,Develop and Implement a Non-Technical Energy Loss Reduction Plan,Utility Transformation,Senior Analyst,TEMP319,40.0
4.08,Develop and Implement a Non-Technical Energy Loss Reduction Plan Total,,,,40.0
4.09,Establish Integration Between Customer Services & T&D Ops,Customer Service,Director,MC900027,2.0
4.09,,Customer Service,Field Supervisor,AT022731,142.5
4.09,,Customer Service,Manager,AT015858,30.0
4.09,,Customer Service,Senior Analyst,AT102970,5.5
4.09,Establish Integration Between Customer Services & T&D Ops Total,,,,180.0
5.04,Development of Cyber Security and Business Continuity Plan,ITOT,Senior Analyst,AT102751,70.5
5.04,Development of Cyber Security and Business Continuity Plan Total,,,,70.5
5.05,Development of an IT Asset Management Program,Operations,Field Supervisor,AT005130,48.0
5.05,,Operations,Senior Analyst,TEMP364,48.0
5.05,,Operations,Senior Analyst,TEMP115,8.0
5.05,,Operations,Senior Analyst,TEMP302,48.0
5.05,,Operations,Senior Analyst,TEMP233,48.0
5.05,,Operations,Senior Analyst,TEMP278,48.0
5.05,,Operations,Senior Analyst,TEMP144,88.0
5.05,,Operations,Senior Analyst,TEMP369,72.0
5.05,,Operations,Senior Analyst,TEMP242,80.0
5.05,,Operations,Senior Analyst,TEMP129,48.0
5.05,,Operations,Senior Analyst,TEMP394,64.0
5.05,,Operations,Senior Analyst,TEMP202,72.0
5.05,,Operations,Senior Analyst,TEMP262,64.0
5.05,,Operations,Senior Analyst,TEMP108,64.0
5.05,,Operations,Senior Analyst,TEMP395,16.0
5.05,,Operations,Senior Analyst,TEMP188,64.0
5.05,,Operations,Senior Analyst,TEMP200,64.0
5.05,,Operations,Senior Analyst,TEMP197,64.0
